id,title,description,brand,ratings,ram,storage,battery,screen,touch_screen,graphics,processor,os,price,image_url
1,Dell XPS 13,A compact and powerful laptop with a stunning display.,Dell,4.5,16,512,52,13.3 inch,False,Intel Iris Xe,Intel Core i7,Windows 11,120000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
2,Apple MacBook Air M2,The latest MacBook Air with Apple's M2 chip.,Apple,4.8,8,256,49,13.6 inch,False,Apple M2 GPU,Apple M2,macOS Monterey,99900.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
3,HP Spectre x360,A versatile 2-in-1 laptop with a premium design.,HP,4.6,16,512,60,13.3 inch,True,Intel Iris Xe,Intel Core i7,Windows 11,145000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
4,Lenovo ThinkPad X1 Carbon,A business-class laptop known for its durability and performance.,Lenovo,4.7,16,512,57,14 inch,False,Intel Iris Xe,Intel Core i7,Windows 11,135000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
5,Asus ZenBook 14,A sleek and lightweight laptop with a long battery life.,Asus,4.4,16,512,67,14 inch,False,NVIDIA GeForce MX450,Intel Core i7,Windows 11,85000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
6,Acer Swift 3,An affordable laptop with a good balance of performance and portability.,Acer,4.3,8,256,48,14 inch,False,Intel Iris Xe,Intel Core i5,Windows 11,60000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
7,Microsoft Surface Laptop 4,A premium laptop with a high-resolution touchscreen.,Microsoft,4.5,16,512,56,13.5 inch,True,Intel Iris Xe,Intel Core i7,Windows 11,130000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
8,Razer Blade 15,A gaming laptop with a sleek design and powerful hardware.,Razer,4.6,16,1024,80,15.6 inch,False,NVIDIA GeForce RTX 3060,Intel Core i7,Windows 11,180000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
9,LG Gram 17,A lightweight laptop with a large 17-inch display.,LG,4.4,16,1024,80,17 inch,False,Intel Iris Xe,Intel Core i7,Windows 11,150000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
10,Samsung Galaxy Book Pro 360,A 2-in-1 laptop with a stunning AMOLED display.,Samsung,4.5,16,512,63,13.3 inch,True,Intel Iris Xe,Intel Core i7,Windows 11,140000.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpisces.bbystatic.com%2Fimage2%2FBestBuy_US%2Fimages%2Fproducts%2F6427%2F6427569ld.jpg&f=1&nofb=1&ipt=db00785aa7623ec9bf39db56ac86f337423bd85108e551726e3367d5a75dde5f
