id,title,description,brand,ratings,ram,storage,battery,screen,camera,graphics,processor,os,price,image_url
1,Samsung Galaxy A14,"Affordable phone with 6.6"" display and 5000mAh battery.",Samsung,4.2,6,128,5000,6.6 inch,50MP + 5MP,Mali-G52,Exynos 850,Android 13,13999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
2,Redmi Note 12,"AMOLED display, Snapdragon 685, 5000mAh battery.",Xiaomi,4.3,6,128,5000,6.67 inch,50MP + 8MP + 2MP,Adreno 610,Snapdragon 685,Android 13,14999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
3,Realme Narzo 60,Budget phone with 64MP camera and 5000mAh battery.,Realme,4.1,6,128,5000,6.72 inch,64MP,Mali-G57,Dimensity 6020,Android 13,15999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
4,iQOO Z7,"MediaTek Dimensity 920, 90Hz AMOLED display.",iQOO,4.4,8,128,4500,6.38 inch,64MP OIS,Mali-G68,Dimensity 920,Android 13,18999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
5,Motorola G73,"5G phone with 120Hz LCD, 5000mAh battery.",Motorola,4.0,8,128,5000,6.5 inch,50MP + 8MP,Mali-G57,Dimensity 930,Android 13,18999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
6,Poco X5,"Snapdragon 695, 6.67"" AMOLED, 120Hz refresh rate.",Poco,4.2,6,128,5000,6.67 inch,48MP,Adreno 619,Snapdragon 695,Android 12,16999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
7,Infinix Zero 5G,"Dimensity 920, 6.78"" IPS LCD, 120Hz.",Infinix,3.9,8,128,5000,6.78 inch,50MP,Mali-G68,Dimensity 920,Android 12,14999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
8,Lava Blaze 5G,"Dimensity 6020, clean UI, 5000mAh battery.",Lava,4.1,6,128,5000,6.5 inch,50MP,Mali-G57,Dimensity 6020,Android 13,11999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
9,Samsung Galaxy M14,"Exynos 1330, 6000mAh battery, One UI Core.",Samsung,4.3,4,64,6000,6.6 inch,50MP,Mali-G68,Exynos 1330,Android 13,12999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
10,Vivo T2,"Snapdragon 695, AMOLED, OIS camera.",Vivo,4.0,6,128,4500,6.38 inch,64MP OIS,Adreno 619,Snapdragon 695,Android 13,15999.0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffscl01.fonpit.de%2Fuserfiles%2F7687254%2Fimage%2FSamsung_Galaxy_S22_Ultra%2FNextPit_Samsung_Galaxy_S22_Ultra_Camera.jpg&f=1&nofb=1&ipt=46aed5ca97f644e94a24f6f7ada4e6f604bcc57ed4ddeae776fcc94996fe122e
